19.05.06 12:25:21	 start:02.04.87 16:01:42	 pos:544435813	 sent:234157328	 speed:0b/s	 host:84.2.173.30	 client:Unknown	 file:
19.05.06 12:25:38	 start:11.02.70 06:27:51	 pos:1229212722	 sent:-1229212723	 speed:4Gb/s	 host:84.205.171.189	 client:BearShare	 file:s_i_b_e_l___t_u_z_u_n_____s_u_p_e_r___s_t_a_r__.wmv
19.05.06 12:25:40	 start:16.01.94 16:45:04	 pos:1401733632	 sent:232501562	 speed:0b/s	 host:82.7.36.83	 client:Unknown	 file:
19.05.06 12:25:52	 start:23.03.87 17:48:53	 pos:1746952480	 sent:-1203437247	 speed:4Gb/s	 host:61.68.12.139	 client:Unknown	 file:
19.05.06 12:25:58	 start:23.03.87 17:48:53	 pos:1746952480	 sent:-1203437247	 speed:4Gb/s	 host:84.160.29.178	 client:Unknown	 file:
19.05.06 12:26:15	 start:23.03.87 17:48:53	 pos:1746952480	 sent:-1203437247	 speed:4Gb/s	 host:82.40.21.113	 client:Unknown	 file:
19.05.06 12:26:16	 start:25.05.07 03:52:02	 pos:844322138	 sent:1919518570	 speed:--.-b/s	 host:62.203.93.28	 client:Unknown	 file:
19.05.06 12:26:26	 start:31.03.70 20:54:31	 pos:779300204	 sent:1056977408	 speed:0b/s	 host:85.106.163.128	 client:Unknown	 file:
19.05.06 12:26:35	 start:11.01.26 10:50:29	 pos:1835888451	 sent:-17565152	 speed:--.-b/s	 host:151.37.166.179	 client:Unknown	 file:
19.05.06 12:26:36	 start:11.01.26 10:50:29	 pos:1835888451	 sent:-17565152	 speed:--.-b/s	 host:84.6.54.86	 client:Unknown	 file:
19.05.06 12:26:39	 start:12.03.14 15:25:41	 pos:1986360403	 sent:-301404979	 speed:--.-b/s	 host:222.35.72.31	 client:Unknown	 file:
19.05.06 12:26:43	 start:04.06.17 18:16:26	 pos:1330137906	 sent:-2139585912	 speed:--.-b/s	 host:60.231.65.57	 client:Unknown	 file:
19.05.06 12:26:46	 start:26.10.14 02:35:15	 pos:-1021556658	 sent:-1320614702	 speed:--.-b/s	 host:210.143.241.70	 client:Unknown	 file:
19.05.06 12:27:06	 start:26.10.14 02:35:15	 pos:-1021556658	 sent:-1320614702	 speed:--.-b/s	 host:84.181.165.187	 client:Unknown	 file:
19.05.06 12:27:13	 start:28.01.11 06:51:19	 pos:1213805618	 sent:-2023253624	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 12:27:20	 start:24.04.14 02:18:12	 pos:1363628875	 sent:-584328671	 speed:--.-b/s	 host:60.231.65.57	 client:Unknown	 file:
19.05.06 12:27:20	 start:24.04.14 02:18:12	 pos:1363628875	 sent:-584328671	 speed:--.-b/s	 host:87.211.136.153	 client:Unknown	 file:
19.05.06 12:27:23	 start:24.04.14 02:18:12	 pos:1363628875	 sent:-584328671	 speed:--.-b/s	 host:221.32.159.109	 client:Unknown	 file:
19.05.06 12:27:27	 start:24.04.14 02:18:12	 pos:1363628875	 sent:-584328671	 speed:--.-b/s	 host:82.1.208.41	 client:Unknown	 file:
19.05.06 12:27:28	 start:24.04.14 02:18:12	 pos:1363628875	 sent:-584328671	 speed:--.-b/s	 host:222.153.18.201	 client:Unknown	 file:
19.05.06 12:27:37	 start:26.10.14 02:35:15	 pos:-1021556658	 sent:-1320614702	 speed:--.-b/s	 host:217.201.143.210	 client:Unknown	 file:
19.05.06 12:27:39	 start:12.03.14 15:25:41	 pos:1986360403	 sent:-301404979	 speed:--.-b/s	 host:172.193.66.87	 client:Unknown	 file:
19.05.06 12:27:47	 start:12.04.14 17:05:39	 pos:1380267076	 sent:-1468756865	 speed:--.-b/s	 host:82.43.36.167	 client:Unknown	 file:
19.05.06 12:28:20	 start:26.10.14 02:35:15	 pos:-1021556658	 sent:-1320614702	 speed:--.-b/s	 host:210.143.241.70	 client:Unknown	 file:
19.05.06 12:28:33	 start:31.03.70 20:54:31	 pos:773878629	 sent:-234029049	 speed:0b/s	 host:72.234.190.213	 client:Unknown	 file:
19.05.06 12:28:46	 start:06.11.30 22:08:32	 pos:2037609333	 sent:-219024146	 speed:--.-b/s	 host:203.174.218.180	 client:Unknown	 file:
