24.132.11.194:6348	BearShare 5.2.4.7	Ausgehend 	Super-Kumpel	133 (19)	291 / 0 / 0		1m 53s	Verbunden 
87.204.67.76:6348	BearShare 5.2.3.5 (Polska)	Ausgehend 	Super-Kumpel	96 (24)	338 / 61 / 0		1m 50s	Verbunden 
83.6.218.214:6346	BearShare 5.2.4.8 (Polska)	Ausgehend 	Super-Kumpel	107 (21)	281 / 0 / 0	4/13,6 MB	1m 46s	Verbunden 
85.178.36.76:6346	BearShare 5.2.1.2 (Deutsch)	Ausgehend 	Super-Kumpel	94 (20)	415 / 0 / 0	1184/5,28 GB	1m 47s	Verbunden 
24.231.25.134:6348	BearShare Pro 5.2.4.7	Ausgehend 	Super-Kumpel	102 (20)	289 / 12 / 16	0/0 bytes	1m 42s	Verbunden 
68.186.165.42:6348	BearShare 5.2.4.12	Ausgehend 	Super-Kumpel	110 (21)	395 / 0 / 0	1/3,5 MB	1m 42s	Verbunden 
89.176.190.115:6348	BearShare 5.2.2.2	Ausgehend 	Super-Kumpel	115 (19)	376 / 73 / 0		1m 41s	Verbunden 
85.232.236.163:6346	BearShare 5.2.1.2 (Polska)	Ausgehend 	Super-Kumpel	99 (14)	391 / 61 / 0		1m 40s	Verbunden 
71.203.31.15:5712	BearShare 5.2.4.7	Ausgehend 	Super-Kumpel	172 (22)	383 / 56 / 0	0/0 bytes	1m 40s	Verbunden 
82.39.157.90:6346	BearShare 4.7.0.80	Ausgehend 	Super-Kumpel	89 (21)	392 / 0 / 0	220/1011,4 MB	1m 38s	Verbunden 
69.192.131.149:6348	BearShare 5.2.3.15	Ausgehend 	Super-Kumpel	36 (9)	392 / 104 / 16	1643/7,08 GB	1m 38s	Verbunden 
81.152.240.96:6348	BearShare 5.2.1.9	Ausgehend 	Super-Kumpel	66 (15)	356 / 102 / 26	305/2,56 GB	1m 36s	Verbunden 
68.206.107.123:6348	BearShare Lite 5.2.4.2	Ausgehend 	Super-Kumpel	164 (20)	377 / 0 / 7		1m 38s	Verbunden 
